Date,Symbol,Name,Price,Change,% Change,Low,High,Previous Close
2025-02-22 02:11:12,AMZN,Amazon.com Inc,215.97,-6.91,-3.1,215.52,223.31,222.88
2025-02-22 02:11:12,AXP,American Express Co,295.77,-8.09,-2.66,294.81,304.94,303.86
2025-02-22 02:11:12,AMGN,Amgen Inc,302.15,+4.22,+1.42,297.19,302.44,297.93
2025-02-22 02:11:12,AAPL,Apple Inc,247.78,+1.95,+0.8,245.22,248.69,245.83
2025-02-22 02:11:12,BA,Boeing Co,176.47,-4.41,-2.44,176.23,182.2,180.88
2025-02-22 02:11:12,CAT,Caterpillar Inc,339.09,-10.06,-2.88,338.89,352,349.15
2025-02-22 02:11:12,CSCO,Cisco Systems Inc,64.14,-0.53,-0.81,64.04,64.96,64.67
2025-02-22 02:11:12,CVX,Chevron Corp,157.85,-0.94,-0.59,157.56,158.95,158.79
2025-02-22 02:11:12,GS,Goldman Sachs Group Inc,627.78,-14.48,-2.25,626.77,647.5,642.26
2025-02-22 02:11:12,HD,Home Depot Inc,387.31,-7.33,-1.86,386.56,397.82,394.64
2025-02-22 02:11:12,HON,Honeywell International Inc,210.67,-0.68,-0.32,209.4,212.5,211.35
2025-02-22 02:11:12,IBM,International Business Machines Corp,262.66,-2.08,-0.79,261.1,264.83,264.74
2025-02-22 02:11:12,JNJ,Johnson & Johnson,162.81,+3.13,+1.96,159.28,162.87,159.68
2025-02-22 02:11:12,KO,Coca-Cola Co,71.58,+1.54,+2.21,70.13,71.6,70.04
2025-02-22 02:11:12,JPM,JPMorgan Chase & Co,265.02,-1.78,-0.67,264.26,269.2,266.8
2025-02-22 02:11:12,MCD,McDonaldâ€™s Corp,305.07,+2.02,+0.67,301.59,305.89,303.05
2025-02-22 02:11:12,MMM,3M Co,145.05,-4.03,-2.7,144.65,149.54,149.08
2025-02-22 02:11:12,MRK,Merck & Co Inc,88.95,+1.27,+1.45,87.01,89.28,87.68
2025-02-22 02:11:12,MSFT,Microsoft Corp,410.73,-5.4,-1.3,410.2,418.05,416.13
2025-02-22 02:11:12,NKE,Nike Inc,75.98,-1.25,-1.62,75.86,77.99,77.23
2025-02-22 02:11:12,PG,Procter & Gamble Co,169.98,+2.77,+1.66,165.92,170.12,167.21
2025-02-22 02:11:12,SHW,Sherwin-Williams Co,343.8,-6.22,-1.78,343.19,353.15,350.02
2025-02-22 02:11:12,TRV,Travelers Companies Inc,239.37,-1.87,-0.78,238.69,242.76,241.24
2025-02-22 02:11:12,UNH,Unitedhealth Group Inc,469.58,-32.84,-6.54,438.5,469.69,502.42
2025-02-22 02:11:12,CRM,Salesforce Inc,309.04,-9.39,-2.95,308.78,318.97,318.43
2025-02-22 02:11:12,NVDA,NVIDIA Corp,136.56,-3.55,-2.53,136.06,141.46,140.11
2025-02-22 02:11:12,VZ,Verizon Communications Inc,43.19,+0.7,+1.66,42.17,43.23,42.49
2025-02-22 02:11:12,V,Visa Inc,348.9,-1.59,-0.45,347.88,353.32,350.49
2025-02-22 02:11:12,WMT,Walmart Inc,94.5,-2.71,-2.79,94.11,96.85,97.21
2025-02-22 02:11:12,DIS,Walt Disney Co,108.7,-1.85,-1.67,108.43,111.76,110.55
